Id,Feature-Model,Number-of-Features,Number-of-Mandatory-Features,Number-of-Top-Features,Number-of-Leaf-Features,-Depth-of-Tree-Max,Cognitive-Complexity-of-Feature-Model,Feature-Extensibility,Flexibility-of-Configuration,Single-Cylic-Dependent-Features,Multiple-Cyclic-Dependent-Features,Number-of-Features-Referenced-in-Constraints-Mean,Ratio-of-Variability,Number-of-Valid-Configurations,Number-of-Groups-OR,Number-of-Groups-XOR
6,WebCollaborativeApplication,40,8,16,32,4,2,32,0.625,0,0,0.0,4.1,35251200.0,1,1
8,Documentation_Generation,44,7,3,32,6,9,43,0.06818181818181818,1,10,0.0,2.4761904761904763,55681560.0,5,4
9,Thread,44,11,1,26,13,7,26,0.3409090909090909,0,0,0.0,2.0,80658.0,0,7
10,PGE-FeatureModel_V1,48,8,13,35,5,12,35,0.10416666666666667,0,0,0.0,2.36,829543680.0,7,5
12,e-foramation,26,6,3,15,8,8,15,0.038461538461538464,0,0,0.0,1.7368421052631582,1260.0,3,5
15,WebApp,10,1,4,7,3,0,7,0.8,0,0,0.0,3.0,160.0,0,0
16,e-commerce,56,5,11,42,5,12,47,0.125,1,4,0.0,2.5769230769230766,824854609920.0,11,1
17,MayaModel,57,31,8,38,5,7,39,0.15789473684210525,1,0,1.0,2.4230769230769234,206976.0,4,3
22,OW2-FraSCAti-1.4,63,18,8,48,5,2,48,0.6190476190476191,0,0,0.0,3.7647058823529416,1684077600.0,0,2
23,ScrollingText,27,7,7,19,3,7,30,0.0,4,7,1.0,2.2,1440.0,2,5
24,USECASE_Test,64,3,7,52,5,11,56,0.0625,3,1,1.0,3.217391304347826,2795520.0,3,8
27,eshop,10,3,4,6,3,2,8,0.2,1,1,1.0,1.8333333333333333,9.0,1,1
28,DATABASE_TOOLS,70,3,15,60,3,7,66,0.2857142857142857,5,1,2.0,4.470588235294118,9.836622723101491e+16,6,1
30,Toko,72,20,9,49,5,14,49,0.19444444444444445,0,0,1.0,2.2972972972972974,408240000000.0,13,1
31,PhotoSahring,76,14,4,49,8,21,49,0.06578947368421052,0,0,0.0,2.0,5735478067200.0,16,5
32,J2EE web architecture,77,27,17,46,5,11,46,0.35064935064935066,0,0,0.0,2.071428571428572,18139852800.0,4,7
35,FrameWorkProdemge,87,6,2,67,6,1,67,0.8965517241379308,0,0,0.0,4.142857142857143,152539358336.0,0,1
36,ModelTransformation,88,17,8,55,9,25,55,0.125,0,0,0.0,1.9310344827586208,16554170880000.0,14,11
41,BankingSoftware,176,46,3,148,7,16,152,0.4375,4,0,0.0,4.340909090909091,5.258227990362193e+31,6,10
42,Electronic Shopping,290,75,2,194,12,40,209,0.2827586206896552,0,15,0.0,2.419117647058824,4.520408609376985e+49,40,0
46,Simple Drawing Tools,14,2,2,11,3,2,11,0.0,0,0,0.0,3.0,1905.0,2,0
47,SmartPhone Device,17,4,7,12,3,4,17,0.17647058823529413,5,0,2.0,2.2222222222222223,192.0,0,4
48,Hastane Randevu Sistemi,17,4,6,12,3,4,22,0.1176470588235294,8,2,16.0,2.2222222222222223,216.0,1,3
