Feature Model,Number of Features,Number of Mandatory Features,Number of Top Features,Number of Leaf Features, Depth of Tree Max,Cognitive Complexity of Feature Model,Feature Extensibility,Flexibility of Configuration,Single Cylic Dependent Features,Multiple Cyclic Dependent Features,Number of Features Referenced in Constraints Mean,Ratio of Variability,Number of Valid Configurations,Number of Groups OR,Number of Groups XOR, Maintainability
Ubuntu1410_TextSize,13,0,2,4,7,1,4,0.7692307692307693,0,0,0.0,1.3,60.0,0,1,verygood
Strategy Mobile Game,33,6,6,22,5,8,30,0.15151515151515152,6,2,1.0,2.1052631578947367,9198.0,1,7,bad
Web_Portal,43,8,5,28,5,6,35,0.3953488372093023,4,3,1.0,2.2857142857142856,2120800.0,3,3,bad
Meshing Tool Generator,40,6,12,28,3,11,37,0.2,4,5,0.0,2.1739130434782608,294912.0,5,6,moderate
StoreFrontSystem,22,8,7,15,6,4,15,0.18181818181818182,0,0,0.0,2.272727272727273,1216.0,4,0,moderate
ProfileItems,78,0,13,66,3,12,104,0.1794871794871795,25,13,2.0,3.7083333333333335,8.044546587E11,9,3,verybad
Counter Strike Simple Feature Model,24,4,3,17,4,5,20,0.125,0,3,1.0,2.3333333333333335,18176.0,5,0,moderate
LscSpecSemantics,17,5,4,10,4,5,10,0.058823529411764705,0,0,0.0,1.75,40.0,0,5,good
Visual Data Graph,18,4,5,13,3,3,13,0.2222222222222222,0,0,0.0,2.5,1792.0,2,1,verygood
NOVASOFT,49,48,3,45,2,0,45,0.0,0,0,0.0,12.0,1.0,0,0,verybad
ProductosCredito,38,14,2,25,9,5,29,0.15789473684210525,4,0,0.0,2.3333333333333335,12636.0,0,5,bad
Bike Computer Family,32,13,5,22,5,6,28,0.125,6,0,1.0,2.3125,240.0,0,6,bad
Stack PL,17,2,5,11,4,4,11,0.23529411764705882,0,0,0.0,2.0,432.0,1,3,moderate
Assistencia domiciliar,25,6,7,16,4,7,18,0.12,0,2,1.0,1.9375,5796.0,7,0,moderate
E-Shop_mjaved_UN,10,4,9,9,1,0,9,0.5,0,0,0.0,9.0,32.0,0,0,verygood
Web Game,16,6,6,9,3,2,9,0.3125,0,0,0.0,1.8888888888888888,60.0,2,0,verygood
Mobile Games,16,1,6,9,3,1,13,0.625,0,4,15.0,2.0,3645.0,1,0,verygood
IDE4OCL,18,7,7,15,4,1,15,0.3888888888888889,0,0,0.0,4.5,896.0,1,0,good
ScrollingText,27,7,7,19,3,7,30,0.0,4,7,1.0,2.2,1440.0,2,5,verygood
Reservation,12,0,1,9,6,3,9,0.0,0,0,0.0,2.3333333333333335,9.0,0,3,good
Cars xpto,15,4,2,8,5,4,8,0.13333333333333333,0,0,0.0,1.6363636363636365,72.0,2,2,good
Ubuntu1410_Contrast,43,6,4,25,7,5,25,0.27906976744186046,0,0,0.0,2.0434782608695654,13680.0,0,5,moderate
Navigation Protocol,16,7,6,11,4,3,11,0.0625,0,0,0.0,2.25,56.0,2,1,good
Autosoft,10,0,2,6,3,0,6,0.9,0,0,0.0,2.25,122.0,0,0,verygood
JCS,12,1,6,9,3,2,11,0.4166666666666667,0,2,0.0,2.6,96.0,1,1,verygood
Emergency Response Application,43,22,3,32,4,5,32,0.13953488372093023,0,0,0.0,2.9375,23040.0,4,1,bad
Connector PL,20,4,2,10,9,7,10,0.05,0,0,0.0,1.5294117647058822,18.0,1,6,good
e-banking-IN0980,55,3,9,41,5,11,44,0.14545454545454545,3,0,0.0,2.6,5.1702726656E11,9,2,bad
MLX,37,8,2,26,6,4,32,0.4594594594594595,1,5,0.0,2.6666666666666665,142970.0,1,3,bad
SPL SimulES - PnP,59,18,3,38,5,14,38,0.13559322033898305,0,0,0.0,2.057142857142857,4.1140224E7,1,13,bad
Simple e-shop,10,3,4,7,3,2,9,0.1,1,1,1.0,2.2,20.0,1,1,verygood
PetSof,21,16,3,15,3,0,15,0.19047619047619047,0,0,0.0,3.3333333333333335,12.0,0,0,verygood
Jogo,12,10,1,8,3,0,8,0.08333333333333333,0,0,1.0,2.75,2.0,0,0,verygood
Sastm,30,5,4,20,5,7,28,0.16666666666666666,0,8,0.0,2.1176470588235294,78240.0,7,0,moderate
MobileApps Multiplatform,29,5,3,23,4,2,30,0.41379310344827586,3,4,0.0,3.75,355688.0,1,1,verygood
RST Game,19,3,5,13,3,5,13,0.10526315789473684,0,0,0.0,2.090909090909091,1440.0,2,3,verygood
Eshop-ufrj,12,3,4,8,3,3,8,0.08333333333333333,0,0,0.0,2.0,48.0,2,1,verygood
TiendaEnLinea,24,5,8,20,3,2,20,0.5,0,0,1.0,4.166666666666667,15872.0,1,1,good
Text Editor,12,4,2,7,5,1,7,0.3333333333333333,0,0,1.0,2.0,11.0,0,1,good
Homepage based on wiki,13,5,2,8,4,2,8,0.23076923076923078,0,0,0.0,2.0,28.0,1,1,good
Online Bookstore,25,6,3,16,5,6,18,0.12,0,2,1.0,2.0,3168.0,3,3,moderate
Electronic Shopping,290,75,2,194,12,40,209,0.2827586206896552,0,15,0.0,2.4191176470588234,4.5204086093769845E49,40,0,bad
Wireless sensor actuator network,44,3,4,33,4,2,33,0.6363636363636364,0,0,0.0,3.4615384615384617,1.3441204224E10,2,0,verygood
Mobile Phone Software,10,2,4,7,3,2,10,0.2,2,1,1.0,2.2,14.0,1,1,verygood
E-commerce system,53,44,7,35,8,4,35,0.05660377358490566,0,0,0.0,2.5454545454545454,18.0,1,3,bad
MobileMedia_MarinaMB,15,7,3,9,3,1,10,0.4,1,0,1.0,2.142857142857143,24.0,0,1,verygood
Mobile Media v3,11,9,2,7,3,0,7,0.09090909090909091,0,0,0.0,2.5,2.0,0,0,verygood
GoPhone,77,40,18,57,5,1,57,0.44155844155844154,0,0,0.0,3.6666666666666665,1.70366976E9,0,1,bad
Smart Queue,13,4,6,9,5,6,9,0.15384615384615385,0,0,0.0,1.8,4.0,0,6,good
VMTools-RA,40,13,3,26,6,4,26,0.35,0,0,1.0,2.388888888888889,737280.0,3,1,verybad
Configurable Tank,24,9,3,14,4,6,16,0.08333333333333333,2,0,1.0,1.8125,108.0,1,5,moderate
OW2-FraSCAti-1.4,63,18,8,48,5,2,48,0.6190476190476191,0,0,0.0,3.764705882352941,1.6840776E9,0,2,bad
