Feature Model,Number of Features,Number of Mandatory Features,Number of Top Features,Number of Leaf Features, Depth of Tree Max,Cognitive Complexity of Feature Model,Feature Extensibility,Flexibility of Configuration,Single Cylic Dependent Features,Multiple Cyclic Dependent Features,Number of Features Referenced in Constraints Mean,Ratio of Variability,Number of Valid Configurations,Number of Groups OR,Number of Groups XOR, Maintainability
RaaS,32,2,19,28,3,3,28,0.53125,0,0,0.0,4.857142857142857,125829120.0,3,0,good
AvionFEatures,10,4,5,7,3,2,7,0.1,0,0,0.0,2.2,12.0,2,0,moderate
Bike Shop,21,3,5,15,5,5,27,0.0952380952380952,9,3,0.0,2.272727272727273,70.0,1,4,bad
Jetbrains,33,13,3,25,4,2,28,0.2727272727272727,3,0,2.0,3.4,4884.0,0,2,moderate
Ubuntu,11,3,4,7,3,3,7,0.0909090909090909,0,0,1.0,1.8571428571428568,12.0,0,3,moderate
WebCollaboration,40,9,2,29,4,2,29,0.525,0,0,0.0,3.1538461538461537,44236800.0,2,0,verybad
Bike Computer Release,36,30,5,22,6,0,22,0.1388888888888889,0,0,1.0,2.5,8.0,0,0,moderate
Electric Car,10,3,6,8,3,1,8,0.4,0,0,0.0,3.333333333333333,32.0,0,1,verybad
FAME-DBMS,21,6,4,13,6,5,13,0.1904761904761904,0,0,0.0,1.9230769230769231,320.0,0,5,bad
IRIS,18,4,6,13,4,4,20,0.1666666666666666,2,5,1.0,2.333333333333333,2352.0,3,1,moderate
GreenHouse_Control_and_Monitoring,31,15,2,21,4,0,21,0.4838709677419355,0,0,1.0,3.0,3712.0,0,0,verybad
HybridCar,10,1,1,8,3,1,8,0.0,0,0,0.0,3.333333333333333,255.0,1,0,moderate
IDE4OCL,14,7,7,12,2,0,12,0.4285714285714285,0,0,0.0,6.5,64.0,0,0,verybad
LXEP,10,8,2,7,2,0,7,0.1,0,0,0.0,3.0,2.0,0,0,moderate
e-foramation,26,6,3,15,8,8,15,0.0384615384615384,0,0,0.0,1.736842105263158,1260.0,3,5,bad
GMF_Eclipse_Reuso_UFRJ,25,23,6,18,2,0,18,0.04,0,0,0.0,3.4285714285714284,2.0,0,0,moderate
VMS,15,3,9,12,4,6,12,0.2,0,0,0.0,2.2222222222222223,44.0,4,2,good
E-commerce,44,32,7,32,4,1,33,0.1590909090909091,1,0,1.0,3.3846153846153846,320.0,0,1,good
Key_Word_In_Context_index_systems,25,8,4,16,4,6,19,0.08,3,0,0.0,2.0,240.0,1,5,bad
SEPFeatureModel,33,10,7,21,4,2,21,0.6060606060606061,0,0,0.0,2.4285714285714284,52500.0,0,2,verybad
portafolioContreras,22,6,5,15,4,4,15,0.2272727272727272,0,0,0.0,2.272727272727273,1536.0,2,2,moderate
Address Book,12,4,5,9,2,0,9,0.5833333333333334,0,0,0.0,3.6666666666666665,72.0,0,0,verybad
IOS5_Contrast,16,0,1,10,6,1,10,0.625,0,0,0.0,2.2857142857142856,254.0,0,1,verybad
agis,24,7,6,16,5,4,20,0.2916666666666667,3,1,0.0,2.25,354.0,1,3,moderate
eshop,10,3,4,6,3,2,8,0.2,1,1,1.0,1.8333333333333333,9.0,1,1,moderate
Webshop,46,10,10,34,3,2,37,0.6304347826086957,2,1,1.0,3.357142857142857,8153726976.0,1,1,verybad
Windows70_Contrast,59,15,1,40,10,7,40,0.1694915254237288,0,0,0.0,2.5,379260.0,0,7,bad
Windows81_Contrast,83,32,1,51,10,8,51,0.180722891566265,0,0,0.0,2.25,3580200.0,0,8,bad
Monitor Engine,20,10,2,13,4,7,13,0.1,0,0,0.0,1.8571428571428568,4.0,2,5,moderate
xtext,137,41,13,102,7,0,102,0.6934306569343066,0,0,1.0,3.8857142857142857,1.3079318200766928e+23,0,0,good
Mobile Game,10,1,3,6,3,1,6,0.4,0,0,0.0,2.0,135.0,1,0,verybad
ESCA Embeeded System,11,3,1,7,4,2,7,0.0,0,0,0.0,2.0,10.0,0,2,moderate
E-science application,61,1,3,43,8,16,43,0.1147540983606557,0,0,0.0,2.235294117647059,754974740.0,5,11,bad
DelayBlockSemSpec,23,8,7,16,3,1,23,0.3043478260869565,7,0,0.0,2.875,41.0,0,1,verybad
Mobile media v5,15,11,2,10,3,0,10,0.2,0,0,0.0,2.8,8.0,0,0,moderate
Windows .NET,13,6,9,11,3,2,11,0.3076923076923077,0,0,0.0,3.5,16.0,2,0,verybad
Toko,72,20,9,49,5,14,49,0.1944444444444444,0,0,1.0,2.2972972972972974,408240000000.0,13,1,good
Documentation_Generation,44,7,3,32,6,9,43,0.0681818181818181,1,10,0.0,2.4761904761904763,55681560.0,5,4,bad
DATABASE_TOOLS,70,3,15,60,3,7,66,0.2857142857142857,5,1,2.0,4.470588235294118,9.836622723101491e+16,6,1,good
Thread,44,11,1,26,13,7,26,0.3409090909090909,0,0,0.0,2.0,80658.0,0,7,bad
VR application,29,9,8,19,4,5,22,0.2068965517241379,2,1,1.0,2.2,3276.0,2,3,good
Match de foot,11,6,6,9,2,0,9,0.3636363636363636,0,0,0.0,5.0,16.0,0,0,verybad
FrameWorkProdemge,87,6,2,67,6,1,67,0.896551724137931,0,0,0.0,4.142857142857143,152539358336.0,0,1,verybad
Database Tool,40,6,10,32,3,7,32,0.175,0,0,0.0,3.066666666666667,104119680.0,5,2,good
Reference Management Softwares Feature Model,31,6,4,23,4,4,34,0.3225806451612903,1,10,1.0,2.833333333333333,87480.0,3,1,moderate
Tankwar,36,7,7,25,4,8,25,0.1944444444444444,0,0,0.0,2.263157894736842,580608.0,2,6,bad
Mobile Media,13,5,3,8,3,2,10,0.1538461538461538,1,1,1.0,2.0,24.0,1,1,moderate
eventos2,25,4,7,18,3,6,18,0.12,0,0,0.0,2.3076923076923075,10584.0,2,4,moderate
Mobile media v6,18,13,2,12,3,0,12,0.2222222222222222,0,0,0.0,2.833333333333333,16.0,0,0,moderate
MasterSoft: Verkauf,26,14,2,14,6,2,14,0.2692307692307692,0,0,0.0,1.9285714285714288,384.0,0,2,moderate
tool analysis,31,1,9,19,5,8,19,0.3548387096774194,0,0,0.0,1.9,184320.0,5,3,good
Test Collaboration System,16,0,5,11,3,4,12,0.4375,0,1,1.0,2.111111111111111,936.0,3,1,verybad
FM ERP-SPL,57,28,6,37,6,6,39,0.2456140350877192,0,2,1.0,2.3846153846153846,1292544.0,6,0,good
GitFlow,12,11,6,7,4,0,7,0.0,0,0,0.0,2.2,1.0,0,0,moderate
deepak_fm,28,17,5,22,3,1,22,0.2857142857142857,0,0,0.0,4.0,512.0,0,1,moderate
Text_Editor,18,6,2,10,4,1,10,0.4444444444444444,0,0,0.0,2.0,396.0,0,1,verybad
Magister 2014-ROLOG,13,4,10,11,3,1,11,0.4615384615384615,0,0,0.0,4.333333333333333,96.0,0,1,verybad
